source,line,alarm_key,message,classification,alarm_occurrences,alarm_occurrences_linked_to_stop,alarm_occurrence_stop_association_pct,attributed_zone_stops,attributed_zone_stop_minutes,average_zone_stop_minutes,same_zone_pct,average_alarm_to_stop_seconds,average_confidence_score
3GT,TAM02,P6_JAM_4019PRS,Z4B : 4019CL fail to transfer to 4019PRS,UNCLASSIFIED,29,3,10.345,3,190,63.33,100,168.86,2
FLEX,TAM31,[00G3_K042]Program:UN02_Standard.ALMD_02G6_B023GLS,Z02 Under Guard Door Open =02G6_B023GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE,54,7,12.963,17,189,11.12,0,171.22,2.24
3GT,TAM02,P6_VFD2PS_ERR,Z4B: 4122MTR VFD2 OFF - Check 4013PS or 4014PS ON,LONG_DURATION,45,8,17.778,10,189,18.9,50,111.38,1.5
3GT,TAM09,P0_IMM_DT_FAIL,Z2A : IMM set up data out of range,ROOT_CAUSE_CANDIDATE,76,8,10.526,12,188,15.67,25,37.74,2.25
3GT,TAM02,P0_IMM_COM_TOUT,Z2A : Communication time out with IMM,STOP_ALARM_CANDIDATE|LONG_DURATION,13,3,23.077,5,188,37.6,0,99.69,2
3GT,TAM07,P3_Cam3_Vis_Com_TOUT,Z8: Camera #3- Communication time out failure,STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,149,2,1.342,3,188,62.67,0,33.38,1.67
3GT,TAM21,L21_P3_Z05A_Alarm.PRS0528_OnFail,Z05A : 528PRS Puck not detect,UNCLASSIFIED,36,2,5.556,3,188,62.67,33.33,82.69,1.33
FLEX,TAM27,[00G3_K022]Program:EM0901_PP_IMM_Xfer.ALMD_IMM_Halt_req,EM0901 IMM to Z09A Halt Request Alarm,ROOT_CAUSE_CANDIDATE,611,9,1.473,14,186,13.29,0,54.21,2
FLEX,TAM31,[00G3_K502]Program:EM10G4_Operator_Interface.ALMD_S504PBL_Actuated,EM10G4 S504PBL ZONE STOP PB4,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,315,9,2.857,13,186,14.31,0,106.01,2.62
FLEX,TAM31,[00G3_K003]Program:EM0372_Shingle_Check.ALMD_Shingle_FC_Detection,EM0372 Shingle FC is detected on Stage ( RIGHT SIDE ) at Shingle Check station,ROOT_CAUSE_CANDIDATE,520,4,0.769,8,186,23.25,0,-7.66,2
3GT,TAM23,L23_P4_Camera3.Alarm_10,Camera3 Cognex Camera is Offline,UNCLASSIFIED,77,4,5.195,7,185,26.43,0,134.12,1
3GT,TAM01,P3_HOPPER_EMPTY,Z8  : 855PRS Carton hopper is empty,CASCADE_SYMPTOM_CANDIDATE|LONG_DURATION,178,4,2.247,6,185,30.83,0,208.99,1
3GT,TAM22,L22_P1_Z02B_Warning.Cure_Temp,Z02B : Cure Temp deviation Alarm,WARNING|CASCADE_SYMPTOM_CANDIDATE,268,4,1.493,6,185,30.83,16.67,24.14,1.17
3GT,TAM02,P6_4005SRV_ERR_7,Z4B : 4005SRV Lag error,UNCLASSIFIED,34,3,8.824,3,185,61.67,33.33,-7.49,1.33
3GT,TAM09,P2_531CL_ERR_2,Z5B : 531CL Fail to retract (Rtrn buffer),UNCLASSIFIED,24,2,8.333,2,185,92.5,100,-18.37,2
3GT,TAM02,P0_271PRS_FAIL,Z2B : 271PRS Sensor fail,CASCADE_SYMPTOM_CANDIDATE,124,1,0.806,1,185,185,0,294.04,1
3GT,TAM18,P1_423PRS_FAIL1,Z4  : 423PRS fail to be ON,ROOT_CAUSE_CANDIDATE,118,13,11.017,16,184,11.5,43.75,59.59,2.38
FLEX,TAM28,[00G3_K502]Program:EM1062_Carton_Case_Xfer_Robot.ALMD_B506PS_OffFail,EM1062 B506PS OffFail,ROOT_CAUSE_CANDIDATE,74,1,1.351,3,184,61.33,0,191.02,1
3GT,TAM20,P7_CMD_FOIL_REJ,Z5B : Consecutive foil reject,UNCLASSIFIED,323,15,4.644,25,183,7.32,0,40.34,1
FLEX,TAM30,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B002GLS,Z05 Guard Door Open =05G6_B002GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,372,14,3.763,14,183,13.07,100,18.48,3
3GT,TAM22,L22_P4_1004PHS.Alarm1,Z10 : 1004PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE,52,7,13.462,17,182,10.71,0,79.54,2
3GT,TAM10,P8_LABEL_NOTRDY,Z10 : Labeler is not ready,STOP_ALARM_CANDIDATE,87,2,2.299,5,182,36.4,0,82.07,2
3GT,TAM07,P0_CU_O2PGREQ1,Z2B : Cure O2 purge for Precure guard open,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|LONG_DURATION,6,1,16.667,3,181,60.33,0,-3.05,2.67
3GT,TAM02,P2_512CL_ERR_1,Z5B : 512CL Fail to extend  (Lens xfer inlet),UNCLASSIFIED,19,1,5.263,1,181,181,100,214.68,2
3GT,TAM10,P1_307PRS_FAIL,Z3  : 307PRS Sensor fail,LONG_DURATION,18,1,5.556,1,181,181,0,31.85,1
3GT,TAM05,P2_SEAL_PRES_ERR,Z5B : DI removal seal pressure out of range,CASCADE_SYMPTOM_CANDIDATE|LONG_DURATION,353,10,2.833,15,180,12,26.67,27.92,1.13
3GT,TAM01,P1_312PRS_FAIL,Z3  : 312PRS Sensor fail,UNCLASSIFIED,93,4,4.301,6,180,30,83.33,147.6,1.83
3GT,TAM10,P6_REDOSE_ALMT2,Z4B : Tower 2 IPA Processing Dose Alarm,UNCLASSIFIED,93,8,8.602,12,179,14.92,41.67,45.05,1.42
3GT,TAM18,P1_405SRV_ERR_2,Z4  : 405SRV Driver error   (Stage load),UNCLASSIFIED,20,3,15,3,179,59.67,66.67,29.43,1.67
FLEX,TAM26,[00G3_K042]Program:UN02_Standard.ALMD_02G6_B003GLS,Z02 Guard Door Open =02G6_B003GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,34,8,23.529,15,178,11.87,26.67,58.08,3
FLEX,TAM26,[04G3_K022]Program:UN04_Standard.ALMD_04G6_K008SR,Z04 VE GUARD DOOR OPEN (=04G6_B026GLS),DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,6,1,16.667,3,178,59.33,0,64.28,3
3GT,TAM17,P6_HSC2FAIL_RST,Z4B : High speed counter #2 (4000FM) Fail to be Reset,UNCLASSIFIED,10,1,10,1,178,178,100,51.59,2
3GT,TAM07,P2_586CL_2_ERR_1,Z5B : 586CL-2 Fail To extend (good/bad),UNCLASSIFIED,47,6,12.766,11,177,16.09,27.27,97.07,1.27
3GT,TAM10,P1_304CL_ERR_2,Z3  : 304CL Fail to RETRACT (Bottom finger L),ROOT_CAUSE_CANDIDATE,51,2,3.922,6,177,29.5,50,114.24,2.33
3GT,TAM10,P3_807PHS3_MISS,Z8  : 807PHS-3 Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE,36,2,5.556,5,177,35.4,0,141.43,2
3GT,TAM09,P2_ALI3_NOT_RDY,Z5B: ALI System not ready,STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,425,3,0.706,4,177,44.25,75,138.37,2.25
FLEX,TAM28,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B005GLS,Z05 Guard Door Open =05G6_B005GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,609,12,1.97,18,176,9.78,50,30.1,2.5
3GT,TAM10,P7_Foil_Break_Alarm,Z5B4 : Check for Foil Break or Jam,STOP_ALARM_CANDIDATE,5,4,80,15,176,11.73,0,123.39,2
3GT,TAM21,L21_P3_Z05A_Alarm.RBT_HomeError,Z05A : Mitsubishi robot could not done homing (Check IMM),UNCLASSIFIED,37,5,13.514,11,176,16,36.36,-12.01,1.36
FLEX,TAM25,[00G3_K042]Program:UN02_Standard.ALMD_02G6_B005GLS,Z02 Guard Door Open =02G6_B005GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE,23,3,13.043,9,176,19.56,11.11,91.98,2.56
3GT,TAM21,L21_P3_0574CL.stat.Fte,P3_0574CL Fail to Extend   !! Still pressurised with Perfect Block !!,UNCLASSIFIED,23,1,4.348,2,176,88,0,4.75,1
3GT,TAM17,P7_CMS_COM_TOUT,Z5B : Communication Time Out With Laser Marker,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,131,5,3.817,8,175,21.88,62.5,131.04,2.88
3GT,TAM02,P3_Cam3_Vis_Com_TOUT,Z8: Camera #3- Communication time out failure,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,121,7,5.785,14,174,12.43,0,69.13,2.79
3GT,TAM22,L22_P3_0521SRV.Over_Travel_Neg,P3_0521SRV Negative Over Travel,LONG_DURATION,31,9,29.032,14,174,12.43,0,-7.91,1
3GT,TAM23,L23_P4_Z06_Alarm.not_empty,Z06 : 607PHS Array remaining in tray slot,UNCLASSIFIED,49,8,16.327,13,174,13.38,30.77,45.05,1.31
3GT,TAM22,L22_P1_0244PRS.Alarm1,Z02B : 244PRS Sensor fail to be ON,UNCLASSIFIED,36,4,11.111,11,174,15.82,18.18,115.13,1.18
FLEX,TAM27,[00G3_K002]Program:EM0285_Cooling_Walking_Beam.ALMD_Adjacent_Door_Open,EM0285 Adjacent Door Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,379,7,1.847,10,174,17.4,0,98.1,2
3GT,TAM20,P0_295SV_ERR1,Z2B : 295SV Fail to open (Precure),LONG_DURATION,13,1,7.692,1,174,174,100,85.57,2
FLEX,TAM27,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B008GLS,Z05 Under Guard Door Open =05G6_B008GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,231,1,0.433,1,174,174,100,48.24,3
FLEX,TAM30,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B004GLS,Z05 Guard Door Open =05G6_B004GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,436,13,2.982,13,173,13.31,100,25.64,3
FLEX,TAM26,[00G3_K002]Program:EM0295_FC_Pallet_Infeed.ALMD_T001SVP_OverTravel_Neg,EM0295 T001SVP Accumulator Singulate Axis over travel negative,LONG_DURATION,2,1,50,2,173,86.5,0,191.03,1
3GT,TAM22,L22_P3_Z05A_Alarm.RBT_RunError,Z05A : Mitsubishi robot program was stopped,UNCLASSIFIED,15,2,13.333,6,172,28.67,33.33,48.54,1.33
3GT,TAM01,P0_IMM_DT_FAIL,Z2A : IMM set up data out of range,LONG_DURATION,65,7,10.769,17,171,10.06,0,93.91,1
3GT,TAM17,P3_619PHS_MISS,Z6  : 619PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,64,8,12.5,15,171,11.4,40,140.41,2.67
3GT,TAM20,P3_619PHS_MISS,Z6  : 619PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,88,7,7.955,14,171,12.21,21.43,145.25,2.57
3GT,TAM21,L21_P3_0521SRV.Over_Travel_Neg,P3_0521SRV Negative Over Travel,UNCLASSIFIED,72,6,8.333,10,171,17.1,0,6.37,1
FLEX,TAM26,[00G3_K002]Program:EM0200_RawMaterialTracking.ALMD_LotChange_Monomer_AL,Timeout occured entering RMT Info for MONOMER,LONG_DURATION,1,1,100,4,170,42.5,0,110.48,1
3GT,TAM09,P3_861PHS_MISS,Z8  : 861PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,107,8,7.477,17,169,9.94,0,151.89,2.35
3GT,TAM20,P3_603PHS_MISS,Z6  : 603PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,164,10,6.098,17,169,9.94,23.53,143.47,2.53
FLEX,TAM25,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B012GLS,Z05 Under Guard Door Open =05G6_B012GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE,13,2,15.385,2,169,84.5,0,8.03,3
FLEX,TAM29,[00G3_K502]Program:EM0603_Stray_Stacker.ALMD_MainteDoorOpen,Mainte Door Opened - Loader side,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,11,3,27.273,8,168,21,0,137.28,2.38
3GT,TAM18,P2_545PRS_ON_ER,Z5B : 545PRS Puck not detect,UNCLASSIFIED,35,4,11.429,7,168,24,14.29,129.74,1.14
3GT,TAM20,P2_IMM_DATA_BAD,Z5A:  IMM DATA BAD,UNCLASSIFIED,15,3,20,5,168,33.6,40,107.49,1.4
3GT,TAM02,P0_CUE_DOOR_OPN,Z2B : Cure Enclosure door opened,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE,36,8,22.222,12,167,13.92,0,104.67,2.5
3GT,TAM21,L21_P1_0241PRS.Alarm1,Z02B : 241PRS or 242PRS Sensor fail to be ON,UNCLASSIFIED,16,5,31.25,10,167,16.7,10,118.05,1.1
3GT,TAM23,L23_P4_0809CL.stat.Fte,P4_0809CL Fail to Extend,ROOT_CAUSE_CANDIDATE|LONG_DURATION,200,5,2.5,10,167,16.7,0,88.71,1.3
FLEX,TAM27,[04G3_K002]Program:EM0442_Tower2_Extraction.ALMD_Flu_Time_Long,EM0442 Tower #2 Flush time too long,UNCLASSIFIED,1,1,100,1,167,167,0,85.21,1
FLEX,TAM29,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B002GLS,Z05 Guard Door Open =05G6_B002GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,475,15,3.158,15,166,11.07,100,3.07,3
FLEX,TAM28,[04G3_K002]Program:EM04G6_Safety_Units.ALMD_GuardDoor_Opened,EM04G6 Guard door opened,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,47,5,10.638,12,166,13.83,0,65.55,2.83
3GT,TAM01,P0_RBT_home_ERR,Z2A : Mitsubishi robot could not Home (check Netstal),UNCLASSIFIED,52,7,13.462,10,166,16.6,50,66.41,1.5
3GT,TAM20,P3_606CL_ERR_1,Z6  : 606CL Fail to extend (Array xfer up/down),ROOT_CAUSE_CANDIDATE,64,6,9.375,10,166,16.6,30,138.16,2
3GT,TAM23,L23_P4_Z10_Alarm.Sleeve_Level_Low,Z10 : Sleeve level (low/low) Sleeve hopper,ROOT_CAUSE_CANDIDATE,201,8,3.98,9,166,18.44,0,33.17,1.89
3GT,TAM18,P6_LONG_PG_ER,Z4B : Tower#2 extraction time too long,ROOT_CAUSE_CANDIDATE,68,5,7.353,7,166,23.71,28.57,61.33,2.14
3GT,TAM05,P16_CM3_Comm_Alm0,Z8  : Cognex Native Mode communication failure,CASCADE_SYMPTOM_CANDIDATE,761,3,0.394,5,166,33.2,0,0.8,1
FLEX,TAM31,[04G3_K022]Program:UN04_Standard.ALMD_04G6_K012SR,Z04 VE GUARD DOOR OPEN (=04G6_B030GLS),DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE,3,2,66.667,4,166,41.5,25,27.06,3
3GT,TAM22,L22_P3_Z05A_Alarm.RBT_CarryVacuumFail,Z05A : Robot curve carry vacuum fail,UNCLASSIFIED,65,5,7.692,11,165,15,27.27,30.3,1.27
3GT,TAM06,P0_219SRV_ERR_7,Z2B : 219SRV Lag error      (Preheat-ALI),UNCLASSIFIED,50,2,4,9,164,18.22,22.22,49.5,1.22
3GT,TAM10,P6_HSC3FAIL_RST,Z4B : High speed counter #3 (4001FM) Fail to be Reset,ROOT_CAUSE_CANDIDATE,66,4,6.061,7,164,23.43,0,108.78,1.57
FLEX,TAM27,[00G3_K002]Program:EM0332_FC_Transfer.ALMD_K001CTL_Guard_Open,EM0332 FC Transfer Robot Error: Safety Guard Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,793,3,0.378,3,164,54.67,0,179.33,2
3GT,TAM01,P3_807PHS4_MISS,Z8  : 807PHS-4 Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE,85,1,1.176,3,163,54.33,0,158.89,2
3GT,TAM05,P3_ether_fail,Z6 : Ethernet Communication Failure,UNCLASSIFIED,14,5,35.714,11,162,14.73,45.45,111.87,1.45
3GT,TAM02,P2_534CL_ERR_1,Z5B : 534CL Fail to extend  (Rjct C/V #1 out),UNCLASSIFIED,125,7,5.6,10,162,16.2,40,56.82,1.4
3GT,TAM07,P1_SHINGLE_DET2,Z4  : FC shingle detect at 411PHS_2,UNCLASSIFIED,30,2,6.667,9,162,18,11.11,189.12,1.11
3GT,TAM06,P0_LOT_MISMATCH,Z2A : Mold information mismatch (middle of lot),ROOT_CAUSE_CANDIDATE|LONG_DURATION,75,4,5.333,7,162,23.14,14.29,27.74,1.86
3GT,TAM02,P3_HOPPER_EMPTY,Z8  : 854PRS Carton hopper is empty,ROOT_CAUSE_CANDIDATE,88,9,10.227,20,161,8.05,0,56.55,1.85
FLEX,TAM26,[00G3_K042]Program:UN03_Standard.ALMD_03G6_B001GLS,Z03 Guard Door Open =03G6_B001GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,124,8,6.452,15,160,10.67,93.33,98.89,2.93
FLEX,TAM31,[00G3_K003]Program:EM0304_WB_Demold.ALMD_Adjacent_Door_Open,EM0304 Adjacent Door Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE,26,4,15.385,11,160,14.55,0,12.48,3
3GT,TAM18,P2_510SHINGLE,Z5B : Shingle P.P. (510PHS),LONG_DURATION,48,3,6.25,7,160,22.86,28.57,100.96,1.29
3GT,TAM01,P2_500SRV_ERR_1,Z5A : 500SRV Fail to move   (P.P. Transfer),UNCLASSIFIED,12,2,16.667,5,160,32,0,51.34,1
3GT,TAM07,BC_Returnpallet_Sequence,Z2B: BC Loop: Excess Pallets Detected,NUISANCE_CHATTER_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,1738,5,0.288,5,160,32,0,1.06,1
3GT,TAM02,P6_OVER_HE_PEL,Z4B : Hyd. PEL over entry level during door open,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|LONG_DURATION,2,1,50,8,159,19.88,12.5,142.26,2.25
3GT,TAM10,P2_52PS_ERROR_Z6,Z5B6: 52PS Air pressure low (Zone5B/6),UNCLASSIFIED,32,7,21.875,7,159,22.71,100,44.29,2
3GT,TAM05,P16_LPR_0_aoi_o_stsrdy,Z8  : Laser AOI not ready,STOP_ALARM_CANDIDATE|NUISANCE_CHATTER_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,92449,4,0.004,5,159,31.8,0,84.59,1
FLEX,TAM28,[00G3_K022]Program:EM0504_Predose_Inlet.ALMD_ITRAY_SHING,EM0504 I-tray shingle detect,ROOT_CAUSE_CANDIDATE,801,4,0.499,8,158,19.75,0,88.86,1.75
3GT,TAM09,P0_UNABLE_LOT_ST,Z2A : Unable to send - Lot Start infomation to DHR,LONG_DURATION,5,1,20,2,158,79,50,79.61,1.5
3GT,TAM02,P0_213SRV_ERR_7,Z2B : 213SRV Lag error      (Deposition),CASCADE_SYMPTOM_CANDIDATE,172,4,2.326,8,157,19.62,25,106.37,1.25
3GT,TAM21,L21_P4_0602SRV.PositionErrorFault,P4_0602SRV Position Error Fault,UNCLASSIFIED,10,1,10,3,157,52.33,0,13.98,1
3GT,TAM06,P0_210CL_ERR_2,Z2B : 210CL Fail to RETRACT (Push to sampl),LONG_DURATION,16,2,12.5,8,156,19.5,25,104.34,1.25
FLEX,TAM27,[04G3_K002]Program:EM0485_ReturnCV.ALMD_CV_Guard_Opened,EM0485 Return C/V Guard opened,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,9,1,11.111,2,156,78,0,-53.46,2
3GT,TAM02,P2_529CL_ERR_2,Z5B : 529CL Fail to retract (Rtrn buffer in),UNCLASSIFIED,69,1,1.449,1,156,156,100,43.72,2
3GT,TAM05,P6_Z04B_4102SV_stat_Fto,Z04B : 4102SV (Recycle/Sump Diverter Sol Valve) failed to Open,UNCLASSIFIED,42,4,9.524,6,155,25.83,33.33,17.55,1.33
3GT,TAM21,L21_P6_4017PRS.Alarm2,Z04C : 4017PRS Sensor fail to be on,LONG_DURATION,7,2,28.571,4,155,38.75,0,147.69,1
3GT,TAM01,P0_RBT_GNRL_ERR,Z2A : Mitsubishi robot error (Check Robot controler),CASCADE_SYMPTOM_CANDIDATE,540,3,0.556,3,155,51.67,66.67,23.99,1.67
3GT,TAM06,P1_23PS_ERROR_Z3,Z2-3: 23PS Air pressure low,UNCLASSIFIED,41,2,4.878,3,155,51.67,100,74.74,2
FLEX,TAM24,[00G3_K002]Program:EM0285_Cooling_Walking_Beam.ALMD_Adjacent_Door_Open,EM0285 Adjacent Door Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,719,8,1.113,10,154,15.4,0,156.26,2
3GT,TAM09,P7_CMD_FOIL_REJ,Z5B : Consecutive foil reject,ROOT_CAUSE_CANDIDATE,126,3,2.381,9,154,17.11,0,-6.8,2
3GT,TAM17,P3_CM5_OCV_FAIL,Z8: Camera #3- 3 consecutive OCV failure,ROOT_CAUSE_CANDIDATE,113,2,1.77,4,154,38.5,0,9.6,2
3GT,TAM20,P2_534CL_ERR_1,Z5B : 534CL Fail to extend  (Rjct C/V #1 out),ROOT_CAUSE_CANDIDATE,118,16,13.559,16,153,9.56,37.5,3.66,2.31
FLEX,TAM26,[04G3_K022]Program:UN04_Standard.ALMD_04G6_B020GLS,Z04 GUARD DOOR OPEN (=04G6_B020GLS),DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,15,1,6.667,1,152,152,100,-18.28,3
3GT,TAM18,P3_1015PHS_MISS,Z10 : 1015PHS Empty-tray jam/sensor fail (Missing),STOP_ALARM_CANDIDATE,151,10,6.623,21,151,7.19,0,132.33,2
3GT,TAM22,L22_P4_1019PHS.Alarm1,Z10 : 1019PHS Carton jam (Remove carton),STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,179,6,3.352,14,151,10.79,0,100.85,1.57
3GT,TAM06,P7_PULL_CODE,PLC7: Emergency stop pull cord pulled,STOP_ALARM_CANDIDATE|LONG_DURATION,2,1,50,4,151,37.75,0,153.61,2
3GT,TAM01,P3_LABEL_NOTRDY,Z10 : Labeler is not ready,STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE|LONG_DURATION,192,9,4.688,15,150,10,0,88.78,1.53
3GT,TAM05,P3_615PHS_UKNOW,Z6  : 615PHS Tray jam or sensor fail (Remain),STOP_ALARM_CANDIDATE,47,2,4.255,9,150,16.67,11.11,132.01,2.11
FLEX,TAM25,[00G3_K502]Program:EM1062_Carton_Case_Xfer_Robot.ALMD_K501CTL_Guard_Open,EM1062 Robot Error: Safety Guard Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,1037,4,0.386,6,150,25,0,179.74,2
FLEX,TAM25,[00G3_K002]Program:EM0312_Demold.ALMD_T001SVP_Driver_Fault,EM0312 T001SVP Demold Upper Fingers Driver fault,STOP_ALARM_CANDIDATE,5,2,40,3,150,50,0,44.57,2
3GT,TAM07,P3_865PHS_MISS,Z8  : 865PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE,16,3,18.75,6,149,24.83,0,99.65,2
3GT,TAM06,P0_CUE_DOOR_OPN,Z2B : Cure Enclosure door opened,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|LONG_DURATION,58,2,3.448,4,149,37.25,0,156.21,2.25
FLEX,TAM31,[04G3_K002]Program:EM04G6_Safety_Units.ALMD_GuardDoor_Opened,EM04G6 Guard door opened,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE,71,2,2.817,3,149,49.67,0,55.41,3
3GT,TAM17,P0_O2_LEVEL_ERR,Z2B : Zone02B O2 Level reached alarm level,LONG_DURATION,72,2,2.778,4,148,37,25,20.09,1.25
3GT,TAM20,P3_1003PHS_MISS,Z10 : 1003PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE,113,6,5.31,13,147,11.31,0,135.62,2
3GT,TAM22,L22_P2_Z04B_Warning.Stage_Bypass,Z04B : Stage Bypass selected,WARNING|LONG_DURATION,6,3,50,8,147,18.38,25,87.22,1.25
3GT,TAM23,L23_P4_Z08_Alarm.same_trail,Z08 : 851BCR-1 same trail code has read,UNCLASSIFIED,32,3,9.375,5,147,29.4,0,38.39,1
3GT,TAM02,P7_CMD_FOIL_REJ,Z5B : Consecutive foil reject,ROOT_CAUSE_CANDIDATE,101,7,6.931,14,146,10.43,7.14,33.06,1.93
3GT,TAM20,P3_864PHS_MISS,Z8  : 864PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,53,5,9.434,9,145,16.11,0,133.15,2.33
3GT,TAM23,L23_P4_0865PHS.Alarm1,Z08 : 865PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE,16,4,25,9,145,16.11,0,122.1,2
3GT,TAM02,P1_4222CL_ERR_1,Z4  : 422CL-2 Fail to EXTEND (FC xfer X2),LONG_DURATION,17,4,23.529,5,145,29,60,68.73,1.6
FLEX,TAM26,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B006GLS,Z05 Guard Door Open =05G6_B006GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,169,6,3.55,6,144,24,100,10.21,3
3GT,TAM01,P0_SHINGLE_ERR,Z2B : 210PHS Shingling pallet (Assembly),UNCLASSIFIED,20,2,10,5,144,28.8,40,82.12,1.4
3GT,TAM17,P3_1017PHS_MISS,Z10 : 1017PHS Empty-tray jam/sensor fail (Missing),STOP_ALARM_CANDIDATE,28,2,7.143,3,144,48,0,41.19,2
3GT,TAM21,L21_P1_Z02B_Warning.Cure_Temp,Z02B : Cure Temp deviation Alarm,WARNING|CASCADE_SYMPTOM_CANDIDATE,391,3,0.767,3,144,48,100,-7.68,2
3GT,TAM22,L22_P1_Z02B_Idle.HMI01,Warning: Zone2B is idle.,WARNING|CASCADE_SYMPTOM_CANDIDATE,837,1,0.119,2,144,72,0,26.84,1
