source,line,alarm_key,message,classification,alarm_occurrences,alarm_occurrences_linked_to_stop,alarm_occurrence_stop_association_pct,attributed_zone_stops,attributed_zone_stop_minutes,average_zone_stop_minutes,same_zone_pct,average_alarm_to_stop_seconds,average_confidence_score
FLEX,TAM29,[04G3_K002]Program:EM0442_Tower2_Extraction.ALMD_Ext_Time_Long_ALM,EM0442 Tower #2 Extraction time too long (consecutive 3 Times),ROOT_CAUSE_CANDIDATE,288,8,2.778,18,989,54.94,0,67.82,1.83
3GT,TAM02,P0_PR_STIK_FAIL1,"Z2B : 213,214PHS Precure sticking fail",ROOT_CAUSE_CANDIDATE,171,24,14.035,56,974,17.39,32.14,73.27,2.25
3GT,TAM07,P2_SEAL_PRES_ERR,Z5B : DI removal seal pressure out of range,LONG_DURATION,336,23,6.845,42,969,23.07,7.14,27.52,1.07
3GT,TAM02,P1_SHINGLE_DET2,Z4  : FC shingle detect at 411PHS_2,ROOT_CAUSE_CANDIDATE,358,38,10.615,41,969,23.63,51.22,73.85,2.24
3GT,TAM22,L22_P3_Z05A_Alarm.RBT_GeneralError,Z05A : Mitsubishi robot error (Check Robot controller),UNCLASSIFIED,92,19,20.652,28,964,34.43,25,74.56,1.25
3GT,TAM22,L22_P2_Z04B_Warning.ReceiveConvStopped,Z04B : Receive conveyor is not running,STOP_ALARM_CANDIDATE|WARNING|CASCADE_SYMPTOM_CANDIDATE,837,35,4.182,55,960,17.45,14.55,109.53,1.6
3GT,TAM06,ST_Z07_Alarm_Z6Stop,Zone 6 Stop,ROOT_CAUSE_CANDIDATE,1111,37,3.33,50,947,18.94,54,72.23,2.18
3GT,TAM01,P6_4007PRSFAIL1,Z4B : 4007PRS fail to be ON,ROOT_CAUSE_CANDIDATE,72,14,19.444,22,945,42.95,40.91,77.27,2.18
FLEX,TAM27,[00G3_K042]Program:UN02_Standard.ALMD_02G6_B008GLS,Z02 Guard Door Open =02G6_B008GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|LONG_DURATION,51,23,45.098,62,932,15.03,16.13,87.1,2.65
3GT,TAM01,P2_54PS_ERROR,Z5AB: 54PS Air pressure low,ROOT_CAUSE_CANDIDATE,151,26,17.219,51,930,18.24,7.84,55.42,1.86
3GT,TAM02,P2_527PHS1_ON_ER,Z5B : 527PHS-1 still OFF,ROOT_CAUSE_CANDIDATE,140,13,9.286,25,924,36.96,8,72.2,1.84
3GT,TAM07,P7_Foil_Break_Alarm,Z5B4 : Check for Foil Break or Jam,STOP_ALARM_CANDIDATE,29,20,68.966,51,921,18.06,3.92,107.21,2.04
FLEX,TAM28,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B003GLS,Z05 Guard Door Open =05G6_B003GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,595,32,5.378,83,917,11.05,28.92,49.06,2.29
FLEX,TAM26,[00G3_K042]Program:UN03_Standard.ALMD_03G6_B004GLS,Z03 Guard Door Open =03G6_B004GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,800,9,1.125,18,911,50.61,88.89,119.52,2.89
