AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
118081704,13981491,DSC   ,VISUS3GTHMI21,L21_P1_Z03_Alarms,L21_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-15 03:40:30.500,2026-08-15 03:40:35.487,5,2026-08-15 03:42:08.237,0.08311666666666667
118081755,19704427,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-15 03:40:29.830,2026-08-15 03:40:30.830,1,2026-08-15 03:42:08.300,0.016666666666666666
118081753,19704425,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-15 03:40:27.173,2026-08-15 03:40:28.173,1,2026-08-15 03:42:08.300,0.016666666666666666
118081713,13981488,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Seal_Prss_NoinRange,300,Z05B : DI Seal Pressure not inrange,2026-08-15 03:40:27.097,2026-08-15 03:41:15.097,48,2026-08-15 03:42:08.237,0.8
118081754,19704424,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-15 03:40:26.830,2026-08-15 03:40:28.830,2,2026-08-15 03:42:08.300,0.03333333333333333
118081702,13981486,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-15 03:40:25.500,2026-08-15 03:40:28.500,3,2026-08-15 03:42:08.237,0.05
118081751,19704423,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-15 03:40:25.187,2026-08-15 03:40:26.173,1,2026-08-15 03:42:08.300,0.016433333333333335
118081721,13981485,DSC   ,VISUS3GTHMI21,L21_P6_Z04C_Alarms,L21_P6_Z04C_Warning.CnsRedoseFault2,300,Z04C : Tower2 consecutive redose fault,2026-08-15 03:40:24.190,2026-08-15 03:41:43.190,79,2026-08-15 03:42:08.237,1.3166666666666667
118081752,19704422,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-15 03:40:22.830,2026-08-15 03:40:27.830,5,2026-08-15 03:42:08.300,0.08333333333333333
118081750,19704421,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-15 03:40:20.830,2026-08-15 03:40:21.830,1,2026-08-15 03:42:08.300,0.016666666666666666
118081700,13981484,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-15 03:40:16.487,2026-08-15 03:40:19.500,3,2026-08-15 03:42:08.237,0.050216666666666666
118081749,19704419,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-15 03:40:13.813,2026-08-15 03:40:19.830,6,2026-08-15 03:42:08.300,0.10028333333333334
118081678,20739159,DSC   ,VISUS3GTHMI09,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-15 03:40:12.117,2026-08-15 03:40:22.107,10,2026-08-15 03:42:08.143,0.1665
118081794,14062855,DSC   ,VISUS3GTHMI01,Zone08,P3_862PHS_UKNOW,1,Z8  : 862PHS 3 consecutive unknown carton detected,2026-08-15 03:40:11.260,2026-08-15 03:43:44.337,213,2026-08-15 03:45:07.147,3.551283333333333
