AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
117585962,19494639,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-08 18:21:27.823,2026-08-08 18:21:28.823,1,2026-08-08 18:24:08.333,0.016666666666666666
117585966,19494638,DSC   ,VISUS3GTHMI22,L22_Zone04B,L22_P2_0430PRS.Alarm1,100,Z04B : 430PRS Sensor fail to be on,2026-08-08 18:21:27.027,2026-08-08 18:21:42.027,15,2026-08-08 18:24:08.333,0.25
117585963,19494637,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-08 18:21:25.823,2026-08-08 18:21:29.823,4,2026-08-08 18:24:08.333,0.06666666666666667
117585868,20585930,DSC   ,VISUS3GTHMI09,Wa_Zone04B,P6_Z04B_Wrn_TWR1_Temp_High,500,Z04B : Tower#1 DI/IPA temperature exceeds high limit,2026-08-08 18:21:24.663,2026-08-08 18:21:25.667,1,2026-08-08 18:24:08.130,0.016733333333333333
117585961,19494635,DSC   ,VISUS3GTHMI22,L22_P3_Z05A_Alarms,L22_P3_Z05A_Warning.RBT_Parts_Reject,300,Z05A : Robot Parts Reject,2026-08-08 18:21:24.197,2026-08-08 18:21:26.167,2,2026-08-08 18:24:08.333,0.03283333333333333
117585832,23054857,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-08 18:21:22.810,2026-08-08 18:21:24.827,2,2026-08-08 18:24:08.037,0.03361666666666666
117585899,13824912,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-08 18:21:21.080,2026-08-08 18:21:23.097,2,2026-08-08 18:24:08.240,0.03361666666666666
117585874,20585928,DSC   ,VISUS3GTHMI09,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-08 18:21:20.677,2026-08-08 18:22:20.663,60,2026-08-08 18:24:08.130,0.9997666666666666
117585898,13824911,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-08 18:21:20.097,2026-08-08 18:21:21.080,1,2026-08-08 18:24:08.240,0.016383333333333333
117585975,19494632,DSC   ,VISUS3GTHMI22,L22_Zone06,L22_P4_0620PHS.Alarm1,100,Z06 : 620PHS Tray jam or sensor fail (Remain),2026-08-08 18:21:18.633,2026-08-08 18:22:07.620,49,2026-08-08 18:24:08.333,0.81645
