AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
117159665,13718269,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-02 19:30:18.667,2026-08-02 19:30:20.667,2,2026-08-02 19:33:07.933,0.03333333333333333
117159615,22837449,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_TWR2_Temp_High,500,Z04B : Tower#2 IPA temperature exceeds high limit,2026-08-02 19:30:16.983,2026-08-02 19:30:17.983,1,2026-08-02 19:33:07.780,0.016666666666666666
117159664,13718268,DSC   ,VISUS3GTHMI21,L21_P1_Z04A_Alarms,L21_P1_Z04A_Warning.Hema_Detect,300,Z04A : HEMARING detected,2026-08-02 19:30:16.683,2026-08-02 19:30:19.667,3,2026-08-02 19:33:07.933,0.04973333333333333
117159654,79331474,DSC   ,VISUS3GTHMI18,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_2,1,Z05C: Web Guide - Upstream misalignment detected,2026-08-02 19:30:16.420,2026-08-02 19:30:48.803,32,2026-08-02 19:33:07.903,0.5397166666666667
117159614,22837448,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-02 19:30:15.597,2026-08-02 19:30:16.617,1,2026-08-02 19:33:07.780,0.017
117159728,19297882,DSC   ,VISUS3GTHMI22,L22_Zone08,L22_P4_0861PHS.Alarm1,100,Z08 : 861PHS Array missing (Check jam or sensor),2026-08-02 19:30:14.873,2026-08-02 19:30:26.907,12,2026-08-02 19:33:08.030,0.20056666666666667
117159725,19297880,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-02 19:30:14.360,2026-08-02 19:30:15.360,1,2026-08-02 19:33:08.030,0.016666666666666666
117159605,52188383,DSC   ,VISUS3GTHMI02,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,1,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-02 19:30:13.763,2026-08-02 19:30:15.367,2,2026-08-02 19:33:07.683,0.026733333333333335
117159661,13718266,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-02 19:30:13.293,2026-08-02 19:30:14.277,1,2026-08-02 19:33:07.933,0.0164
117159726,19297879,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-02 19:30:13.030,2026-08-02 19:30:16.017,3,2026-08-02 19:33:08.030,0.04978333333333333
117159616,22837447,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-02 19:30:12.983,2026-08-02 19:30:19.980,7,2026-08-02 19:33:07.780,0.11661666666666666
117159724,19297878,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-02 19:30:12.357,2026-08-02 19:30:13.343,1,2026-08-02 19:33:08.030,0.016433333333333335
117159662,13718265,DSC   ,VISUS3GTHMI21,L21_P1_Z04A_Alarms,L21_P1_Z04A_Warning.Hema_Detect,300,Z04A : HEMARING detected,2026-08-02 19:30:11.683,2026-08-02 19:30:14.667,3,2026-08-02 19:33:07.933,0.04973333333333333
117159660,13718264,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-02 19:30:11.293,2026-08-02 19:30:13.293,2,2026-08-02 19:33:07.933,0.03333333333333333
117159663,13718263,DSC   ,VISUS3GTHMI21,L21_P4_Z08_Alarms,L21_P4_Z08_Warning.Camera3_InspectNG,300,Z08 : Camera3 Inspection failure,2026-08-02 19:30:10.793,2026-08-02 19:30:14.777,4,2026-08-02 19:33:07.933,0.0664
117159659,13718262,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-02 19:30:08.667,2026-08-02 19:30:11.683,3,2026-08-02 19:33:07.933,0.05026666666666667
117159658,13718261,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-02 19:30:06.293,2026-08-02 19:30:07.293,1,2026-08-02 19:33:07.933,0.016666666666666666
117159455,22837444,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-02 19:30:05.540,2026-08-02 19:30:06.537,1,2026-08-02 19:30:07.707,0.016616666666666665
