AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
117444220,19432359,DSC   ,VISUS3GTHMI22,L22_ST_Z07_Alarms,L22_ST_Z07_Alarms.Z8Stop,210,Zone 8 Stop,2026-08-06 20:45:26.230,2026-08-06 20:45:34.230,8,2026-08-06 20:48:08.027,0.13333333333333333
117444127,22976698,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-06 20:45:24.580,2026-08-06 20:45:25.580,1,2026-08-06 20:48:07.790,0.016666666666666666
117444214,19432357,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-06 20:45:23.277,2026-08-06 20:45:24.277,1,2026-08-06 20:48:08.027,0.016666666666666666
117444216,19432356,DSC   ,VISUS3GTHMI22,L22_P1_Z02A_Alarms,L22_P1_Z02A_Warning.BypassMoldConfirm,300,Z02A : IMM bypass due to Mold confirmation,2026-08-06 20:45:21.933,2026-08-06 20:45:24.933,3,2026-08-06 20:48:08.027,0.05
117444213,19432355,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-06 20:45:18.933,2026-08-06 20:45:19.933,1,2026-08-06 20:48:08.027,0.016666666666666666
117444215,19432354,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-06 20:45:18.933,2026-08-06 20:45:23.933,5,2026-08-06 20:48:08.027,0.08333333333333333
117444212,19432352,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-06 20:45:15.930,2026-08-06 20:45:17.930,2,2026-08-06 20:48:08.027,0.03333333333333333
117444221,19432351,DSC   ,VISUS3GTHMI22,L22_Zone08,L22_P4_0861PRS.Alarm2,100,Z08 : Carton push over load,2026-08-06 20:45:15.777,2026-08-06 20:45:33.777,18,2026-08-06 20:48:08.027,0.3
117444210,19432350,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-06 20:45:14.277,2026-08-06 20:45:15.277,1,2026-08-06 20:48:08.027,0.016666666666666666
117444126,22976694,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-06 20:45:13.500,2026-08-06 20:45:15.517,2,2026-08-06 20:48:07.790,0.03361666666666666
117444208,19432349,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-06 20:45:12.277,2026-08-06 20:45:13.277,1,2026-08-06 20:48:08.027,0.016666666666666666
117444173,13784845,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Seal_Prss_NoinRange,300,Z05B : DI Seal Pressure not inrange,2026-08-06 20:45:12.180,2026-08-06 20:45:31.197,19,2026-08-06 20:48:07.980,0.31695
117444209,19432348,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-06 20:45:10.930,2026-08-06 20:45:13.930,3,2026-08-06 20:48:08.027,0.05
117444211,19432347,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-06 20:45:09.930,2026-08-06 20:45:15.930,6,2026-08-06 20:48:08.027,0.1
117443980,22976689,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-06 20:45:03.437,2026-08-06 20:45:04.443,1,2026-08-06 20:45:07.690,0.016766666666666666
117444098,19432346,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-06 20:45:03.260,2026-08-06 20:45:04.277,1,2026-08-06 20:45:07.953,0.01695
117444099,19432345,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-06 20:45:01.930,2026-08-06 20:45:05.930,4,2026-08-06 20:45:07.953,0.06666666666666667
117444100,19432344,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-06 20:45:00.930,2026-08-06 20:45:06.930,6,2026-08-06 20:45:07.953,0.1
117444103,13958747,DSC   ,VISUS3GTHMI01,Zone05B,P2_MRSVACRelief_Fail,1,Z5B: MRS Vacuum Relief Failed - 581SV,2026-08-06 20:44:56.607,2026-08-06 20:45:30.007,34,2026-08-06 20:48:07.667,0.5566666666666666
117444042,13784841,DSC   ,VISUS3GTHMI21,L21_P1_Z02A_Alarms,L21_P1_Z02A_Warning.BypassMoldConfirm,300,Z02A : IMM bypass due to Mold confirmation,2026-08-06 20:44:53.587,2026-08-06 20:44:54.587,1,2026-08-06 20:45:07.877,0.016666666666666666
117444311,20549266,DSC   ,VISUS3GTHMI09,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-06 20:44:53.533,2026-08-06 20:49:11.547,258,2026-08-06 20:51:08.030,4.300233333333334
117444163,27319688,DSC   ,VISUS3GTHMI10,Zone08,P3_CM5_OCV_FAIL,1,Z8: Camera #3- 3 consecutive OCV failure,2026-08-06 20:44:52.990,2026-08-06 20:45:20.493,28,2026-08-06 20:48:07.917,0.4583833333333333
117444096,19432342,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-06 20:44:52.930,2026-08-06 20:44:57.930,5,2026-08-06 20:45:07.953,0.08333333333333333
117444097,19432343,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-06 20:44:52.930,2026-08-06 20:44:57.930,5,2026-08-06 20:45:07.953,0.08333333333333333
117443979,22976686,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_0,250,Z05C: Web Guide - Disturbance detected,2026-08-06 20:44:52.563,2026-08-06 20:44:53.263,1,2026-08-06 20:45:07.690,0.011666666666666665
117443978,22976684,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-06 20:44:52.350,2026-08-06 20:44:54.360,2,2026-08-06 20:45:07.690,0.033499999999999995
117444159,20549264,DSC   ,VISUS3GTHMI09,Wa_Zone04B,P6_Z04B_Wrn_VE_LEL_Delta,500,Z04B : Vapor Enclosure delta between 4000LEL and 4001LEL,2026-08-06 20:44:51.530,2026-08-06 20:46:36.547,105,2026-08-06 20:48:07.887,1.7502833333333332
117444668,20549265,DSC   ,VISUS3GTHMI09,Wa_Zone04B,P6_Z04B_Wrn_TWR2_Temp_High,500,Z04B : Tower#2 IPA temperature exceeds high limit,2026-08-06 20:44:51.530,2026-08-06 20:56:38.530,707,2026-08-06 20:57:08.110,11.783333333333333
117444104,13958743,DSC   ,VISUS3GTHMI01,Zone05B,P2_560CL_ERR_1,1,"Z5B : 560CL Fail to extend  (Foil cut,pref)",2026-08-06 20:44:50.580,2026-08-06 20:45:36.750,46,2026-08-06 20:48:07.667,0.7695000000000001
117444171,13784840,DSC   ,VISUS3GTHMI21,L21_Zone05B,L21_P3_0586CL_02.stat.Fte,100,P3_0586CL_02 Fail to Extend,2026-08-06 20:44:50.430,2026-08-06 20:45:29.430,39,2026-08-06 20:48:07.980,0.65
117444101,13958740,DSC   ,VISUS3GTHMI01,Zone05C,P17_Foil_WebGuide_GlobalAlm_1,1,Z05C: PLC17 PE303 - IE4C Slot 1 Channel 0 Low Alarm,2026-08-06 20:44:49.890,2026-08-06 20:45:29.897,40,2026-08-06 20:48:07.667,0.6667833333333333
117444102,13958741,DSC   ,VISUS3GTHMI01,Zone05C,P17_Foil_WebGuide_GlobalAlm_0,1,Z05C: PLC17 PE303 - IE4C Slot 1 Channel 0 Fault,2026-08-06 20:44:49.890,2026-08-06 20:45:29.897,40,2026-08-06 20:48:07.667,0.6667833333333333
117444168,13784839,DSC   ,VISUS3GTHMI21,L21_Zone05B,L21_P3_0534CL.stat.Fte,100,P3_0534CL Fail to Extend,2026-08-06 20:44:49.383,2026-08-06 20:45:08.367,19,2026-08-06 20:48:07.980,0.3164
117443991,48172822,DSC   ,VISUS3GTHMI20,Zone05B,P2_586CL_2_ERR_2,1,Z5B : 586CL-2 Fail To retract(good/bad),2026-08-06 20:44:48.547,2026-08-06 20:44:58.560,10,2026-08-06 20:45:07.847,0.16688333333333333
117444041,13784838,DSC   ,VISUS3GTHMI21,L21_P3_Z05A_Alarms,L21_P3_Z05A_Warning.RBT_Parts_Reject,300,Z05A : Robot Parts Reject,2026-08-06 20:44:48.163,2026-08-06 20:44:50.163,2,2026-08-06 20:45:07.877,0.03333333333333333
117444170,13784837,DSC   ,VISUS3GTHMI21,L21_Zone05B,L21_P3_0510CL.stat.Ftr,100,P3_0510CL Fail to Retract,2026-08-06 20:44:46.287,2026-08-06 20:45:29.290,43,2026-08-06 20:48:07.980,0.7167166666666667
117443977,22976683,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,250,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-06 20:44:45.063,2026-08-06 20:44:47.260,2,2026-08-06 20:45:07.690,0.036616666666666665
117444095,19432340,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-06 20:44:44.930,2026-08-06 20:44:50.930,6,2026-08-06 20:45:07.953,0.1
117444093,19432338,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-06 20:44:43.277,2026-08-06 20:44:44.277,1,2026-08-06 20:45:07.953,0.016666666666666666
117444094,19432339,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-06 20:44:42.930,2026-08-06 20:44:48.917,6,2026-08-06 20:45:07.953,0.09978333333333333
117443959,52420904,DSC   ,VISUS3GTHMI02,Zone05B,P7_CMD_FOIL_REJ,1,Z5B : Consecutive foil reject,2026-08-06 20:44:42.357,2026-08-06 20:44:54.860,12,2026-08-06 20:45:07.610,0.20838333333333334
