AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
119280130,20169024,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-30 00:57:40.213,2026-08-30 00:57:41.213,1,2026-08-30 01:00:07.503,0.016666666666666666
119280070,14363389,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-30 00:57:38.547,2026-08-30 00:57:40.547,2,2026-08-30 01:00:07.440,0.03333333333333333
119280128,20169022,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-30 00:57:38.213,2026-08-30 00:57:39.213,1,2026-08-30 01:00:07.503,0.016666666666666666
119280129,20169023,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-30 00:57:37.870,2026-08-30 00:57:38.870,1,2026-08-30 01:00:07.503,0.016666666666666666
119280014,53870727,DSC   ,VISUS3GTHMI02,Zone08,P3_Cam3_Vis_Com_TOUT,1,Z8: Camera #3- Communication time out failure,2026-08-30 00:57:36.967,2026-08-30 00:58:15.527,39,2026-08-30 01:00:07.270,0.6426666666666667
119280022,23728645,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,250,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-30 00:57:35.957,2026-08-30 00:57:39.460,4,2026-08-30 01:00:07.300,0.058383333333333336
119280127,20169021,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-30 00:57:34.870,2026-08-30 00:57:37.870,3,2026-08-30 01:00:07.503,0.05
119280126,20169020,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-30 00:57:33.870,2026-08-30 00:57:34.870,1,2026-08-30 01:00:07.503,0.016666666666666666
119280069,14363388,DSC   ,VISUS3GTHMI21,L21_P1_Z03_Alarms,L21_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-30 00:57:32.547,2026-08-30 00:57:38.547,6,2026-08-30 01:00:07.440,0.1
119280067,14363387,DSC   ,VISUS3GTHMI21,L21_P1_Z03_Alarms,L21_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-30 00:57:30.533,2026-08-30 00:57:31.547,1,2026-08-30 01:00:07.440,0.016900000000000002
