AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
118506352,19897292,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-21 00:11:10.590,2026-08-21 00:11:11.590,1,2026-08-21 00:12:07.807,0.016666666666666666
118506295,14089303,DSC   ,VISUS3GTHMI21,L21_P1_Z03_Alarms,L21_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-21 00:11:10.270,2026-08-21 00:11:16.270,6,2026-08-21 00:12:07.697,0.1
118506293,14089302,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-21 00:11:08.270,2026-08-21 00:11:10.270,2,2026-08-21 00:12:07.697,0.03333333333333333
118506348,19897291,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-21 00:11:06.573,2026-08-21 00:11:07.590,1,2026-08-21 00:12:07.807,0.01695
118506292,14089301,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-21 00:11:05.863,2026-08-21 00:11:07.847,2,2026-08-21 00:12:07.697,0.03306666666666667
118506349,19897290,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-21 00:11:04.590,2026-08-21 00:11:08.590,4,2026-08-21 00:12:07.807,0.06666666666666667
118506208,14201811,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-21 00:11:03.827,2026-08-21 00:11:17.817,14,2026-08-21 00:12:07.480,0.23316666666666666
118506291,14089300,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-21 00:11:02.863,2026-08-21 00:11:03.847,1,2026-08-21 00:12:07.697,0.0164
118506413,48997380,DSC   ,VISUS3GTHMI20,Zone10,P3_1099SV_FAIL,1,Z10 : 1099SV failure (Shutdown valve),2026-08-21 00:11:02.537,2026-08-21 00:13:54.033,172,2026-08-21 00:15:07.903,2.8582666666666667
118506347,19897288,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-21 00:11:01.590,2026-08-21 00:11:02.590,1,2026-08-21 00:12:07.807,0.016666666666666666
118506290,14089299,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-21 00:11:00.847,2026-08-21 00:11:01.847,1,2026-08-21 00:12:07.697,0.016666666666666666
118506289,14089298,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-21 00:10:58.253,2026-08-21 00:11:01.270,3,2026-08-21 00:12:07.697,0.05028333333333333
