AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
117656587,13846281,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-09 16:24:08.937,2026-08-09 16:24:10.923,2,2026-08-09 16:27:08.030,0.0331
117656543,23078902,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_TWR2_Temp_High,500,Z04B : Tower#2 IPA temperature exceeds high limit,2026-08-09 16:24:08.403,2026-08-09 16:24:16.407,8,2026-08-09 16:27:07.843,0.1334
117656695,417620,DSC   ,VISUS3GTHMI23,L23_P4_Z08_Alarms,L23_P4_Z08_Warning.Camera3_InspectNG,300,Z08 : Camera3 Inspection failure,2026-08-09 16:24:06.653,2026-08-09 16:24:49.647,43,2026-08-09 16:27:08.187,0.7165666666666667
117656373,13993407,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-09 16:24:02.740,2026-08-09 16:24:05.747,3,2026-08-09 16:24:07.627,0.05011666666666667
117656513,19525845,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-09 16:24:02.257,2026-08-09 16:24:05.257,3,2026-08-09 16:24:08.007,0.05
117656512,19525844,DSC   ,VISUS3GTHMI22,L22_P1_Z04A_Alarms,L22_P1_Z04A_Warning.IDR400_1_Mismatch,300,Z04A : IDR400_1 Data mismatch,2026-08-09 16:24:01.253,2026-08-09 16:24:04.257,3,2026-08-09 16:24:08.007,0.05006666666666667
117656397,23078900,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-09 16:24:00.503,2026-08-09 16:24:02.520,2,2026-08-09 16:24:07.800,0.03361666666666666
117656510,19525843,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-09 16:23:59.613,2026-08-09 16:24:00.630,1,2026-08-09 16:24:08.007,0.01695
117656544,23078901,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_2,250,Z05C: Web Guide - Upstream misalignment detected,2026-08-09 16:23:59.433,2026-08-09 16:24:14.937,15,2026-08-09 16:27:07.843,0.2584
117656443,13846280,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-09 16:23:58.923,2026-08-09 16:24:01.953,3,2026-08-09 16:24:07.960,0.050499999999999996
