AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
119490559,14449391,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-09-01 15:57:03.777,2026-09-01 15:57:05.777,2,2026-09-01 15:57:07.580,0.03333333333333333
119490558,14449390,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-09-01 15:56:59.370,2026-09-01 15:57:01.370,2,2026-09-01 15:57:07.580,0.03333333333333333
119490557,14449389,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-09-01 15:56:57.357,2026-09-01 15:56:58.370,1,2026-09-01 15:57:07.580,0.01688333333333333
119490487,23800965,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-09-01 15:56:54.710,2026-09-01 15:56:56.723,2,2026-09-01 15:57:07.440,0.033549999999999996
119490598,20234297,DSC   ,VISUS3GTHMI22,L22_P3_Z05A_Alarms,L22_P3_Z05A_Warning.RBT_Parts_Reject,300,Z05A : Robot Parts Reject,2026-09-01 15:56:54.437,2026-09-01 15:56:56.437,2,2026-09-01 15:57:07.630,0.03333333333333333
119490556,14449387,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-09-01 15:56:53.777,2026-09-01 15:56:56.777,3,2026-09-01 15:57:07.580,0.05
119490554,14449386,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-09-01 15:56:51.387,2026-09-01 15:56:53.370,2,2026-09-01 15:57:07.580,0.03305
119490597,20234296,DSC   ,VISUS3GTHMI22,L22_P3_Z05A_Alarms,L22_P3_Z05A_Warning.RBT_Parts_Reject,300,Z05A : Robot Parts Reject,2026-09-01 15:56:46.437,2026-09-01 15:56:48.437,2,2026-09-01 15:57:07.630,0.03333333333333333
119490600,20234295,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.FC_Hold_Fail_Right,300,Z02B : FC hold fail right side,2026-09-01 15:56:45.110,2026-09-01 15:57:05.110,20,2026-09-01 15:57:07.630,0.3333333333333333
119490553,14449384,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-09-01 15:56:44.777,2026-09-01 15:56:47.777,3,2026-09-01 15:57:07.580,0.05
119490485,23800962,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-09-01 15:56:44.640,2026-09-01 15:56:46.657,2,2026-09-01 15:57:07.440,0.03361666666666666
119490552,14449383,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-09-01 15:56:43.370,2026-09-01 15:56:45.370,2,2026-09-01 15:57:07.580,0.03333333333333333
119490551,14449382,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-09-01 15:56:41.370,2026-09-01 15:56:42.370,1,2026-09-01 15:57:07.580,0.016666666666666666
119490555,14449381,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.InspectionNG_Cmr2,300,Z05B : Inspection NG Camera2,2026-09-01 15:56:40.357,2026-09-01 15:56:54.357,14,2026-09-01 15:57:07.580,0.23333333333333334
119490596,20234294,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-09-01 15:56:40.110,2026-09-01 15:56:45.110,5,2026-09-01 15:57:07.630,0.08333333333333333
119490550,14449380,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-09-01 15:56:35.370,2026-09-01 15:56:37.370,2,2026-09-01 15:57:07.580,0.03333333333333333
119490599,20234293,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.FC_Hold_Fail_Left,300,Z02B : FC hold fail left side,2026-09-01 15:56:35.110,2026-09-01 15:57:05.110,30,2026-09-01 15:57:07.630,0.5
119490549,14449379,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-09-01 15:56:34.763,2026-09-01 15:56:37.777,3,2026-09-01 15:57:07.580,0.05023333333333333
119490484,23800959,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-09-01 15:56:34.560,2026-09-01 15:56:36.587,2,2026-09-01 15:57:07.440,0.03378333333333334
119490601,439259,DSC   ,VISUS3GTHMI23,L23_P4_Z06_Alarms,L23_P4_Z06_Warning.Miss_0607PHS_01,300,Z06 : Miss_0607PHS_01,2026-09-01 15:56:33.670,2026-09-01 15:56:52.670,19,2026-09-01 15:57:07.690,0.31666666666666665
119490592,20234292,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-09-01 15:56:33.110,2026-09-01 15:56:34.110,1,2026-09-01 15:57:07.630,0.016666666666666666
