AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
118365287,19844050,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-19 06:59:46.797,2026-08-19 06:59:51.780,5,2026-08-19 07:00:07.730,0.08305
118365286,19844049,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-19 06:59:44.780,2026-08-19 06:59:47.797,3,2026-08-19 07:00:07.730,0.05028333333333333
118365173,27784548,DSC   ,VISUS3GTHMI10,Zone03,P1_CMD_TR,1,Z3  : CMD Top Right (303CL),2026-08-19 06:59:42.043,2026-08-19 06:59:48.543,6,2026-08-19 07:00:07.573,0.10833333333333334
118365174,27784549,DSC   ,VISUS3GTHMI10,Zone03,P1_CMD_FAIL,1,Z3  : Consecutive miss demold (->Chk FINGER),2026-08-19 06:59:42.043,2026-08-19 06:59:48.543,6,2026-08-19 07:00:07.573,0.10833333333333334
118365285,19844048,DSC   ,VISUS3GTHMI22,L22_Zone08,L22_P4_0862PHS.Alarm1,100,Z08 : 862PHS Carton missing (Check jam or sensor),2026-08-19 06:59:39.607,2026-08-19 06:59:45.623,6,2026-08-19 07:00:07.730,0.10026666666666667
118365158,23370213,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_0,250,Z05C: Web Guide - Disturbance detected,2026-08-19 06:59:38.540,2026-08-19 06:59:41.843,3,2026-08-19 07:00:07.480,0.05505
118365284,19844047,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-19 06:59:37.780,2026-08-19 06:59:40.780,3,2026-08-19 07:00:07.730,0.05
118365233,14035924,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-19 06:59:37.460,2026-08-19 06:59:39.460,2,2026-08-19 07:00:07.637,0.03333333333333333
118365283,19844046,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-19 06:59:33.123,2026-08-19 06:59:34.140,1,2026-08-19 07:00:07.730,0.01695
118365232,14035923,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-19 06:59:28.037,2026-08-19 06:59:29.037,1,2026-08-19 07:00:07.637,0.016666666666666666
