AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
118224796,19785409,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-17 12:14:25.287,2026-08-17 12:14:26.300,1,2026-08-17 12:15:07.790,0.01688333333333333
118224795,19785408,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-17 12:14:22.287,2026-08-17 12:14:23.287,1,2026-08-17 12:15:07.790,0.016666666666666666
118224741,23327007,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_0,250,Z05C: Web Guide - Disturbance detected,2026-08-17 12:14:22.070,2026-08-17 12:14:27.067,5,2026-08-17 12:15:07.600,0.08328333333333333
118224740,23327005,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-17 12:14:21.327,2026-08-17 12:14:23.340,2,2026-08-17 12:15:07.600,0.033549999999999996
118224794,19785407,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-17 12:14:20.287,2026-08-17 12:14:21.287,1,2026-08-17 12:15:07.790,0.016666666666666666
118225065,19785406,DSC   ,VISUS3GTHMI22,L22_P4_Z08_Alarms,L22_P4_Camera3.Alarm_00,100,Camera3 Cognex Native Mode communication failure,2026-08-17 12:14:20.223,2026-08-17 12:19:22.223,302,2026-08-17 12:21:08.273,5.033333333333333
118224793,19785405,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-17 12:14:17.940,2026-08-17 12:14:18.940,1,2026-08-17 12:15:07.790,0.016666666666666666
118224739,23327004,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,250,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-17 12:14:11.370,2026-08-17 12:14:13.067,2,2026-08-17 12:15:07.600,0.028283333333333334
118224736,23327002,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-17 12:14:11.257,2026-08-17 12:14:12.263,1,2026-08-17 12:15:07.600,0.016766666666666666
118224737,23327001,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_0,250,Z05C: Web Guide - Disturbance detected,2026-08-17 12:14:07.267,2026-08-17 12:14:10.170,3,2026-08-17 12:15:07.600,0.048383333333333334
118224855,23327000,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-17 12:14:05.863,2026-08-17 12:17:03.863,178,2026-08-17 12:18:07.760,2.966666666666667
118224834,23326998,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_TWR2_Temp_High,500,Z04B : Tower#2 IPA temperature exceeds high limit,2026-08-17 12:14:03.873,2026-08-17 12:15:09.870,66,2026-08-17 12:18:07.760,1.09995
118224738,23326999,DSC   ,VISUS3GTHMI05,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,250,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-17 12:14:01.573,2026-08-17 12:14:11.170,10,2026-08-17 12:15:07.600,0.15994999999999998
118224735,23326996,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-17 12:14:00.173,2026-08-17 12:14:02.190,2,2026-08-17 12:15:07.600,0.03361666666666666
