AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
118010500,80545681,DSC   ,VISUS3GTHMI18,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_2,1,Z05C: Web Guide - Upstream misalignment detected,2026-08-14 05:31:53.277,2026-08-14 05:31:59.773,6,2026-08-14 05:33:07.753,0.10826666666666668
118010541,13963423,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-14 05:31:53.073,2026-08-14 05:31:56.073,3,2026-08-14 05:33:07.787,0.05
118010586,19671631,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-14 05:31:52.733,2026-08-14 05:31:53.733,1,2026-08-14 05:33:07.863,0.016666666666666666
118010638,23225794,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-14 05:31:49.680,2026-08-14 05:33:39.687,110,2026-08-14 05:36:07.830,1.83345
118010440,14043383,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-14 05:31:47.203,2026-08-14 05:31:52.190,5,2026-08-14 05:33:07.490,0.08311666666666667
118010584,19671629,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-14 05:31:43.733,2026-08-14 05:31:44.733,1,2026-08-14 05:33:07.863,0.016666666666666666
118010585,19671628,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-14 05:31:43.390,2026-08-14 05:31:48.390,5,2026-08-14 05:33:07.863,0.08333333333333333
118010540,13963422,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-14 05:31:43.073,2026-08-14 05:31:46.073,3,2026-08-14 05:33:07.787,0.05
118010437,14043382,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-14 05:31:42.203,2026-08-14 05:31:46.203,4,2026-08-14 05:33:07.490,0.06666666666666667
118010438,14043379,DSC   ,VISUS3GTHMI01,Zone05B,P2_560CL_ERR_1,1,"Z5B : 560CL Fail to extend  (Foil cut,pref)",2026-08-14 05:31:39.427,2026-08-14 05:31:49.477,10,2026-08-14 05:33:07.490,0.1675
