AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
117869285,19612049,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-12 11:52:50.560,2026-08-12 11:52:52.577,2,2026-08-12 11:54:08.040,0.03361666666666666
117869283,19612048,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-12 11:52:49.920,2026-08-12 11:52:50.920,1,2026-08-12 11:54:08.040,0.016666666666666666
117869164,52776497,DSC   ,VISUS3GTHMI02,Zone02B,P0_Z2_210SRV_GrdOpen,1,Z02B: 210SRV Guard Open,2026-08-12 11:52:48.990,2026-08-12 11:52:49.527,1,2026-08-12 11:54:07.707,0.008950000000000001
117869165,52776498,DSC   ,VISUS3GTHMI02,Zone02B,P0_Z2_216SRV_GrdOpen,1,Z02B: 216SRV Guard Open,2026-08-12 11:52:48.990,2026-08-12 11:52:49.527,1,2026-08-12 11:54:07.707,0.008950000000000001
117869284,19612047,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-12 11:52:48.560,2026-08-12 11:52:51.577,3,2026-08-12 11:54:08.040,0.05028333333333333
117869282,19612046,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-12 11:52:47.920,2026-08-12 11:52:48.920,1,2026-08-12 11:54:08.040,0.016666666666666666
117869281,19612045,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-12 11:52:46.577,2026-08-12 11:52:48.560,2,2026-08-12 11:54:08.040,0.03305
117869229,13916524,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-12 11:52:45.250,2026-08-12 11:52:47.233,2,2026-08-12 11:54:07.980,0.03305
117869157,14010876,DSC   ,VISUS3GTHMI01,Zone05B,P2_MRSVACRelief_Fail,1,Z5B: MRS Vacuum Relief Failed - 581SV,2026-08-12 11:52:42.923,2026-08-12 11:52:44.740,2,2026-08-12 11:54:07.677,0.030283333333333332
117869279,19612044,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-12 11:52:39.560,2026-08-12 11:52:40.577,1,2026-08-12 11:54:08.040,0.01695
