AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
118788462,14292263,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_2,1,Z05C: Web Guide - Upstream misalignment detected,2026-08-24 09:39:29.147,2026-08-24 09:40:06.143,37,2026-08-24 09:42:07.313,0.6166
118788527,14196267,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-24 09:39:28.457,2026-08-24 09:39:29.457,1,2026-08-24 09:42:07.550,0.016666666666666666
118788677,14292262,DSC   ,VISUS3GTHMI01,Zone05B,P2_523PRS_ON_ER,1,Z5B : 523PRS Puck not detect,2026-08-24 09:39:27.983,2026-08-24 09:44:07.060,280,2026-08-24 09:45:07.377,4.651283333333334
118788526,14196266,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-24 09:39:25.863,2026-08-24 09:39:28.863,3,2026-08-24 09:42:07.550,0.05
118788592,19994883,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-24 09:39:23.183,2026-08-24 09:39:27.197,4,2026-08-24 09:42:07.627,0.0669
118788456,14292260,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-24 09:39:23.143,2026-08-24 09:39:27.140,4,2026-08-24 09:42:07.313,0.06661666666666667
118788524,14196264,DSC   ,VISUS3GTHMI21,L21_P1_Z03_Alarms,L21_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-24 09:39:20.880,2026-08-24 09:39:21.863,1,2026-08-24 09:42:07.550,0.016383333333333333
118788525,14196263,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-24 09:39:20.457,2026-08-24 09:39:22.457,2,2026-08-24 09:42:07.550,0.03333333333333333
118788514,21393550,DSC   ,VISUS3GTHMI17,Disc_Alarm,P0_PSS_COM_TOUT,1,PLC0: Communication time out with PSS1,2026-08-24 09:39:19.583,2026-08-24 09:39:41.657,22,2026-08-24 09:42:07.487,0.3679
118788513,21393549,DSC   ,VISUS3GTHMI17,Disc_Alarm,DevicewiseEDHR_Online,1,EDHR Client DeviceWise Offline,2026-08-24 09:39:18.150,2026-08-24 09:39:21.150,3,2026-08-24 09:42:07.487,0.05
118788590,19994881,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-24 09:39:17.557,2026-08-24 09:39:18.540,1,2026-08-24 09:42:07.627,0.016383333333333333
118788454,14292259,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-24 09:39:17.140,2026-08-24 09:39:22.137,5,2026-08-24 09:42:07.313,0.08328333333333333
118788591,19994880,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-24 09:39:16.183,2026-08-24 09:39:20.197,4,2026-08-24 09:42:07.627,0.0669
118788523,14196262,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-24 09:39:15.880,2026-08-24 09:39:17.863,2,2026-08-24 09:42:07.550,0.03305
118788589,19994879,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-24 09:39:15.557,2026-08-24 09:39:16.557,1,2026-08-24 09:42:07.627,0.016666666666666666
118788691,23543742,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_VE_LEL_Delta,500,Z04B : Vapor Enclosure delta between 4000LEL and 4001LEL,2026-08-24 09:39:14.297,2026-08-24 09:42:44.313,210,2026-08-24 09:45:07.440,3.5002666666666666
