AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
117371818,13939681,DSC   ,VISUS3GTHMI01,Zone08,P3_CMS_NOT_RDY,1,Z8  : Laser marker is not ready,2026-08-05 13:26:49.247,2026-08-05 13:26:50.923,1,2026-08-05 13:27:07.167,0.02793333333333333
117371984,19389860,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-05 13:26:48.310,2026-08-05 13:26:49.310,1,2026-08-05 13:27:07.590,0.016666666666666666
117371840,22940771,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-05 13:26:45.960,2026-08-05 13:26:47.973,2,2026-08-05 13:27:07.323,0.033549999999999996
117371985,19389858,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-05 13:26:45.310,2026-08-05 13:26:50.313,5,2026-08-05 13:27:07.590,0.08338333333333334
117371983,19389859,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-05 13:26:45.310,2026-08-05 13:26:47.310,2,2026-08-05 13:27:07.590,0.03333333333333333
117371982,19389856,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-05 13:26:43.657,2026-08-05 13:26:44.657,1,2026-08-05 13:27:07.590,0.016666666666666666
117371981,19389855,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-05 13:26:42.310,2026-08-05 13:26:43.313,1,2026-08-05 13:27:07.590,0.016716666666666664
117372010,22940769,DSC   ,VISUS3GTHMI05,Wa_Zone04B,P6_Z04B_Wrn_HE_PEL_Delta,500,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,2026-08-05 13:26:42.143,2026-08-05 13:27:58.150,76,2026-08-05 13:30:07.380,1.2667833333333334
117371980,19389853,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-05 13:26:36.310,2026-08-05 13:26:42.310,6,2026-08-05 13:27:07.590,0.1
117371839,22940767,DSC   ,VISUS3GTHMI05,Wa_Zone08,P16_LPR_0_aoi_o_stsrdy,500,Z8  : Laser AOI not ready,2026-08-05 13:26:35.877,2026-08-05 13:26:36.897,1,2026-08-05 13:27:07.323,0.017
