AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
119420049,20214226,DSC   ,VISUS3GTHMI22,L22_P1_Z02A_Alarms,L22_P1_Z02A_Warning.BypassMoldConfirm,300,Z02A : IMM bypass due to Mold confirmation,2026-08-31 15:58:31.617,2026-08-31 15:58:34.617,3,2026-08-31 16:00:07.393,0.05
119419946,53988316,DSC   ,VISUS3GTHMI02,Ru_Zone05B,P2_514PRS_OF_ER,250,Z5B : 514PRS still ON,2026-08-31 15:58:30.777,2026-08-31 15:58:32.770,2,2026-08-31 16:00:07.127,0.033216666666666665
119420013,14417489,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-31 15:58:28.900,2026-08-31 15:58:30.900,2,2026-08-31 16:00:07.313,0.03333333333333333
119419947,53988317,DSC   ,VISUS3GTHMI02,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,1,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-31 15:58:28.737,2026-08-31 15:58:33.540,5,2026-08-31 16:00:07.127,0.08005
119420012,14417488,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-31 15:58:26.323,2026-08-31 15:58:29.323,3,2026-08-31 16:00:07.313,0.05
119420011,14417487,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-31 15:58:24.930,2026-08-31 15:58:25.917,1,2026-08-31 16:00:07.313,0.01645
119419877,14505614,DSC   ,VISUS3GTHMI01,Zone02B,P0_PC_TMPLOW_ER,1,Z2B : Precure FC side flow temp low error,2026-08-31 15:58:23.907,2026-08-31 15:59:21.377,58,2026-08-31 16:00:07.017,0.9578333333333333
119420014,14417486,DSC   ,VISUS3GTHMI21,L21_P1_Z03_Alarms,L21_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-31 15:58:23.323,2026-08-31 15:58:31.323,8,2026-08-31 16:00:07.313,0.13333333333333333
119420009,14417485,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-31 15:58:22.900,2026-08-31 15:58:23.900,1,2026-08-31 16:00:07.313,0.016666666666666666
119420010,14417484,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-31 15:58:21.900,2026-08-31 15:58:23.900,2,2026-08-31 16:00:07.313,0.03333333333333333
119420048,20214225,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-31 15:58:21.633,2026-08-31 15:58:22.633,1,2026-08-31 16:00:07.393,0.016666666666666666
119419945,53988309,DSC   ,VISUS3GTHMI02,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_10,1,Z05C: Web Guide Sensor 1 - Low contrast Edge detected,2026-08-31 15:58:20.537,2026-08-31 15:58:25.940,5,2026-08-31 16:00:07.127,0.09004999999999999
